"Latitude" "Longitude" "Crop" "SoilSampleID" "Se" "Zn" "Bio1" "Bio12" "EVI" "MB1" "MB2" "MB3" "MB7" "Slope" "TIM" "ph" "org"
8.945084247 38.25420966 "Teff" "GeoN-ETH18-Soil-2361" 0.0871 28.10425478 176 957 1990 913 2050 436 1257 0.090596922 13.49915218 6.65 1.62
8.963269985 38.00872852 "Teff" "GeoN-ETH18-Soil-2355" 0.0589 25.84135589 153 1088 2984 852 2551 432 1453 2.227267504 9.804747581 5.62 2.306
8.973627604 37.56277907 "Teff" "GeoN-ETH18-Soil-2371" 99999 27.19116838 164 1191 3000 840 2528 467 1325 6.654145718 9.382492065 5.53 2.078
8.978380043 39.3595348 "Teff" "GeoN-ETH18-Soil-2221" 0.160411879 23.16168741 183 829 2060 1148 2395 548 1660 1.888010621 11.05447769 6.59 1.162
8.981499289 39.54790737 "Teff" "GeoN-ETH18-Soil-2218" 0.182976811 26.80298174 203 805 1730 1084 2087 539 1966 1.692007422 10.43466759 7.48 1.5231
8.984434038 37.41927675 "Teff" "GeoN-ETH18-Soil-2369" 0.013 35.21328193 175 1482 3343 1000 2899 595 1553 7.902461052 7.917474747 5.56 2.641
8.988796691 37.70030378 "Teff" "GeoN-ETH18-Soil-2366" 0.00684 26.07806778 161 1214 2813 764 2332 394 1138 10.17704773 8.548433304 6.08 3.072
8.995558561 38.24900904 "Teff" "GeoN-ETH18-Soil-2365" 0.562615578 28.491957325 174 1050 1964 752 1794.5 410 1182 0.8307721615 10.112880708 7.16 0.9804
8.996044101 38.2523118 "Teff" "GeoN-ETH18-Soil-2364" 0.899199998 27.14805025 174 1074 1877 746 1744 403 1155 0.744838834 10.32020283 7 0.8647
8.998725624 38.51297814 "Teff" "GeoN-ETH18-Soil-2515" 0.0475 41.1983498 167 1071 2908 987 2686 508 1462 1.318881512 12.3714962 4.89 2.001
8.998926721 38.39809584 "Teff" "GeoN-ETH18-Soil-2372" 0.0525 30.12063008 174 1068 1964 822 1899 416 1195 0.236248299 13.15840435 6.35 1.233
9.006709898 38.33858478 "Teff" "GeoN-ETH18-Soil-2360" 0.114245476 28.50688412 174 1083 2251 1005 2254 607 1289 0.910412371 11.57130527 5.32 3.485
9.017821432 39.35880657 "Teff" "GeoN-ETH18-Soil-2222" 0.0613 25.01386627 185 815 2136 1119 2413 523 1605 2.318103075 10.64763927 6.84 1.398
